Frame,Stick X,Stick Y,Button Mask,Buttons Pressed
0,0,0,0x8000,A
1,0,0,0x8000,A
2,0,0,0x8000,A
3,0,0,0x8000,A
4,0,0,0x8000,A
5,0,0,0x8000,A
6,0,0,0x8000,A
7,0,0,0x8000,A
8,0,0,0x8000,A
9,0,0,0x8000,A
10,0,0,0x8000,A
11,0,0,0x8000,A
12,0,0,0x8000,A
13,0,0,0x8000,A
14,0,0,0x8000,A
15,0,0,0x8000,A
16,0,0,0x8000,A
17,0,0,0x8000,A
18,0,0,0x8000,A
19,0,0,0x8000,A
20,0,0,0x8000,A
21,0,0,0x8000,A
22,0,0,0x8000,A
23,0,0,0x8000,A
24,0,0,0x8000,A
25,0,0,0x8000,A
26,0,0,0x8000,A
27,0,0,0x8000,A
28,0,0,0x8000,A
29,0,0,0x8000,A
30,0,0,0x8000,A
31,0,0,0x8000,A
32,0,0,0x8000,A
33,0,0,0x8000,A
34,0,0,0x8000,A
35,0,0,0x8000,A
36,0,0,0x8000,A
37,0,0,0x8000,A
38,0,0,0x8000,A
39,0,0,0x8000,A
40,0,0,0x8000,A
41,0,0,0x8000,A
42,0,0,0x8000,A
43,0,0,0x8000,A
44,0,0,0x8000,A
45,0,0,0x8000,A
46,0,0,0x8000,A
47,0,0,0x8000,A
48,0,0,0x8000,A
49,0,0,0x8000,A
50,0,0,0x8000,A
51,0,0,0x8000,A
52,0,0,0x8000,A
53,0,0,0x8000,A
54,0,0,0x8000,A
55,0,0,0x8000,A
56,0,0,0x8000,A
57,0,0,0x8000,A
58,0,0,0x8000,A
59,0,0,0x8000,A
60,0,0,0x8000,A
61,0,0,0x8000,A
62,0,0,0x8000,A
63,0,0,0x8000,A
64,0,0,0x8000,A
65,0,0,0x8000,A
66,0,0,0x8000,A
67,0,0,0x8000,A
68,0,0,0x8000,A
69,0,0,0x8000,A
70,0,0,0x8000,A
71,0,0,0x8000,A
72,0,0,0x8000,A
73,0,0,0x8000,A
74,0,0,0x8000,A
75,0,0,0x8000,A
76,0,0,0x8000,A
77,0,0,0x8000,A
78,0,0,0x8000,A
79,0,0,0x8000,A
80,0,0,0x8000,A
81,0,0,0x8000,A
82,0,0,0x8000,A
83,0,0,0x8000,A
84,0,0,0x8000,A
85,0,0,0x8000,A
86,0,0,0x8000,A
87,0,0,0x8000,A
88,0,0,0x8000,A
89,0,0,0x8000,A
90,0,0,0x8000,A
91,0,0,0x8000,A
92,0,0,0x8000,A
93,0,0,0x8000,A
94,0,0,0x8000,A
95,0,0,0x8000,A
96,0,0,0x8000,A
97,0,0,0x8000,A
98,0,0,0x8000,A
99,0,0,0x8000,A
100,0,0,0x8000,A
101,0,0,0x4000,B
102,0,0,0x4000,B
103,0,0,0x4000,B
104,0,0,0x4000,B
105,0,0,0x4000,B
106,0,0,0x4000,B
107,0,0,0x4000,B
108,0,0,0x4000,B
109,0,0,0x4000,B
110,0,0,0x4000,B
111,0,0,0x4000,B
112,0,0,0x4000,B
113,0,0,0x4000,B
114,0,0,0x4000,B
115,0,0,0x4000,B
116,0,0,0x4000,B
117,0,0,0x4000,B
118,0,0,0x4000,B
119,0,0,0x4000,B
120,0,0,0x4000,B
121,0,0,0x4000,B
122,0,0,0x4000,B
123,0,0,0x4000,B
124,0,0,0x4000,B
125,0,0,0x4000,B
126,0,0,0x4000,B
127,0,0,0x4000,B
128,0,0,0x4000,B
129,0,0,0x4000,B
130,0,0,0x4000,B
131,0,0,0x4000,B
132,0,0,0x4000,B
133,0,0,0x4000,B
134,0,0,0x4000,B
135,0,0,0x4000,B
136,0,0,0x4000,B
137,0,0,0x4000,B
138,0,0,0x4000,B
139,0,0,0x4000,B
140,0,0,0x4000,B
141,0,0,0x4000,B
142,0,0,0x4000,B
143,0,0,0x4000,B
144,0,0,0x4000,B
145,0,0,0x4000,B
146,0,0,0x4000,B
147,0,0,0x4000,B
148,0,0,0x4000,B
149,0,0,0x4000,B
150,0,0,0x4000,B
151,0,0,0x4000,B
152,0,0,0x4000,B
153,0,0,0x4000,B
154,0,0,0x4000,B
155,0,0,0x4000,B
156,0,0,0x4000,B
157,0,0,0x4000,B
158,0,0,0x4000,B
159,0,0,0x4000,B
160,0,0,0x4000,B
161,0,0,0x4000,B
162,0,0,0x4000,B
163,0,0,0x4000,B
164,0,0,0x4000,B
165,0,0,0x4000,B
166,0,0,0x4000,B
167,0,0,0x4000,B
168,0,0,0x4000,B
169,0,0,0x4000,B
170,0,0,0x4000,B
171,0,0,0x4000,B
172,0,0,0x4000,B
173,0,0,0x4000,B
174,0,0,0x4000,B
175,0,0,0x4000,B
176,0,0,0x4000,B
177,0,0,0x4000,B
178,0,0,0x4000,B
179,0,0,0x4000,B
180,0,0,0x4000,B
181,0,0,0x4000,B
182,0,0,0x4000,B
183,0,0,0x4000,B
184,0,0,0x4000,B
185,0,0,0x4000,B
186,0,0,0x4000,B
187,0,0,0x4000,B
188,0,0,0x4000,B
189,0,0,0x4000,B
190,0,0,0x4000,B
191,0,0,0x4000,B
192,0,0,0x4000,B
193,0,0,0x4000,B
194,0,0,0x4000,B
195,0,0,0x4000,B
196,0,0,0x4000,B
197,0,0,0x4000,B
198,0,0,0x4000,B
199,0,0,0x4000,B
200,0,0,0x4000,B
201,0,0,0x2000,Z
202,0,0,0x2000,Z
203,0,0,0x2000,Z
204,0,0,0x2000,Z
205,0,0,0x2000,Z
206,0,0,0x2000,Z
207,0,0,0x2000,Z
208,0,0,0x2000,Z
209,0,0,0x2000,Z
210,0,0,0x2000,Z
211,0,0,0x2000,Z
212,0,0,0x2000,Z
213,0,0,0x2000,Z
214,0,0,0x2000,Z
215,0,0,0x2000,Z
216,0,0,0x2000,Z
217,0,0,0x2000,Z
218,0,0,0x2000,Z
219,0,0,0x2000,Z
220,0,0,0x2000,Z
221,0,0,0x2000,Z
222,0,0,0x2000,Z
223,0,0,0x2000,Z
224,0,0,0x2000,Z
225,0,0,0x2000,Z
226,0,0,0x2000,Z
227,0,0,0x2000,Z
228,0,0,0x2000,Z
229,0,0,0x2000,Z
230,0,0,0x2000,Z
231,0,0,0x2000,Z
232,0,0,0x2000,Z
233,0,0,0x2000,Z
234,0,0,0x2000,Z
235,0,0,0x2000,Z
236,0,0,0x2000,Z
237,0,0,0x2000,Z
238,0,0,0x2000,Z
239,0,0,0x2000,Z
240,0,0,0x2000,Z
241,0,0,0x2000,Z
242,0,0,0x2000,Z
243,0,0,0x2000,Z
244,0,0,0x2000,Z
245,0,0,0x2000,Z
246,0,0,0x2000,Z
247,0,0,0x2000,Z
248,0,0,0x2000,Z
249,0,0,0x2000,Z
250,0,0,0x2000,Z
251,0,0,0x2000,Z
252,0,0,0x2000,Z
253,0,0,0x2000,Z
254,0,0,0x2000,Z
255,0,0,0x2000,Z
256,0,0,0x2000,Z
257,0,0,0x2000,Z
258,0,0,0x2000,Z
259,0,0,0x2000,Z
260,0,0,0x2000,Z
261,0,0,0x2000,Z
262,0,0,0x2000,Z
263,0,0,0x2000,Z
264,0,0,0x2000,Z
265,0,0,0x2000,Z
266,0,0,0x2000,Z
267,0,0,0x2000,Z
268,0,0,0x2000,Z
269,0,0,0x2000,Z
270,0,0,0x2000,Z
271,0,0,0x2000,Z
272,0,0,0x2000,Z
273,0,0,0x2000,Z
274,0,0,0x2000,Z
275,0,0,0x2000,Z
276,0,0,0x2000,Z
277,0,0,0x2000,Z
278,0,0,0x2000,Z
279,0,0,0x2000,Z
280,0,0,0x2000,Z
281,0,0,0x2000,Z
282,0,0,0x2000,Z
283,0,0,0x2000,Z
284,0,0,0x2000,Z
285,0,0,0x2000,Z
286,0,0,0x2000,Z
287,0,0,0x2000,Z
288,0,0,0x2000,Z
289,0,0,0x2000,Z
290,0,0,0x2000,Z
291,0,0,0x2000,Z
292,0,0,0x2000,Z
293,0,0,0x2000,Z
294,0,0,0x2000,Z
295,0,0,0x2000,Z
296,0,0,0x2000,Z
297,0,0,0x2000,Z
298,0,0,0x2000,Z
299,0,0,0x2000,Z
300,0,0,0x2000,Z
301,0,0,0x1000,Start
302,0,0,0x1000,Start
303,0,0,0x1000,Start
304,0,0,0x1000,Start
305,0,0,0x1000,Start
306,0,0,0x1000,Start
307,0,0,0x1000,Start
308,0,0,0x1000,Start
309,0,0,0x1000,Start
310,0,0,0x1000,Start
311,0,0,0x1000,Start
312,0,0,0x1000,Start
313,0,0,0x1000,Start
314,0,0,0x1000,Start
315,0,0,0x1000,Start
316,0,0,0x1000,Start
317,0,0,0x1000,Start
318,0,0,0x1000,Start
319,0,0,0x1000,Start
320,0,0,0x1000,Start
321,0,0,0x1000,Start
322,0,0,0x1000,Start
323,0,0,0x1000,Start
324,0,0,0x1000,Start
325,0,0,0x1000,Start
326,0,0,0x1000,Start
327,0,0,0x1000,Start
328,0,0,0x1000,Start
329,0,0,0x1000,Start
330,0,0,0x1000,Start
331,0,0,0x1000,Start
332,0,0,0x1000,Start
333,0,0,0x1000,Start
334,0,0,0x1000,Start
335,0,0,0x1000,Start
336,0,0,0x1000,Start
337,0,0,0x1000,Start
338,0,0,0x1000,Start
339,0,0,0x1000,Start
340,0,0,0x1000,Start
341,0,0,0x1000,Start
342,0,0,0x1000,Start
343,0,0,0x1000,Start
344,0,0,0x1000,Start
345,0,0,0x1000,Start
346,0,0,0x1000,Start
347,0,0,0x1000,Start
348,0,0,0x1000,Start
349,0,0,0x1000,Start
350,0,0,0x1000,Start
351,0,0,0x1000,Start
352,0,0,0x1000,Start
353,0,0,0x1000,Start
354,0,0,0x1000,Start
355,0,0,0x1000,Start
356,0,0,0x1000,Start
357,0,0,0x1000,Start
358,0,0,0x1000,Start
359,0,0,0x1000,Start
360,0,0,0x1000,Start
361,0,0,0x1000,Start
362,0,0,0x1000,Start
363,0,0,0x1000,Start
364,0,0,0x1000,Start
365,0,0,0x1000,Start
366,0,0,0x1000,Start
367,0,0,0x1000,Start
368,0,0,0x1000,Start
369,0,0,0x1000,Start
370,0,0,0x1000,Start
371,0,0,0x1000,Start
372,0,0,0x1000,Start
373,0,0,0x1000,Start
374,0,0,0x1000,Start
375,0,0,0x1000,Start
376,0,0,0x1000,Start
377,0,0,0x1000,Start
378,0,0,0x1000,Start
379,0,0,0x1000,Start
380,0,0,0x1000,Start
381,0,0,0x1000,Start
382,0,0,0x1000,Start
383,0,0,0x1000,Start
384,0,0,0x1000,Start
385,0,0,0x1000,Start
386,0,0,0x1000,Start
387,0,0,0x1000,Start
388,0,0,0x1000,Start
389,0,0,0x1000,Start
390,0,0,0x1000,Start
391,0,0,0x1000,Start
392,0,0,0x1000,Start
393,0,0,0x1000,Start
394,0,0,0x1000,Start
395,0,0,0x1000,Start
396,0,0,0x1000,Start
397,0,0,0x1000,Start
398,0,0,0x1000,Start
399,0,0,0x1000,Start
400,0,0,0x1000,Start
401,0,0,0x0800,D-Up
402,0,0,0x0800,D-Up
403,0,0,0x0800,D-Up
404,0,0,0x0800,D-Up
405,0,0,0x0800,D-Up
406,0,0,0x0800,D-Up
407,0,0,0x0800,D-Up
408,0,0,0x0800,D-Up
409,0,0,0x0800,D-Up
410,0,0,0x0800,D-Up
411,0,0,0x0800,D-Up
412,0,0,0x0800,D-Up
413,0,0,0x0800,D-Up
414,0,0,0x0800,D-Up
415,0,0,0x0800,D-Up
416,0,0,0x0800,D-Up
417,0,0,0x0800,D-Up
418,0,0,0x0800,D-Up
419,0,0,0x0800,D-Up
420,0,0,0x0800,D-Up
421,0,0,0x0800,D-Up
